name	imageOK	isImage	sizeOK	syntaxOK	notUpsideDown	notFuzzy	notDark	average	OrientationOK	imagesize	filesize	updatedAt	updatedby	format	mode	compression	dpi	csid	fullpathtofile
UC378361.JPG	False	True	True	True	True	True	False	42108	True	(3744, 5616)	7333837			JPEG	RGB		(350, 350)		/var/cspace/ucjeps/bmu/UC378361.JPG
UC378364.JPG	False	True	True	True	True	True	False	43717	True	(3744, 5616)	6797148			JPEG	RGB		(350, 350)		/var/cspace/ucjeps/bmu/UC378364.JPG
UC381075.JPG	False	True	True	True	True	True	False	41213	True	(3744, 5616)	6465508			JPEG	RGB		(350, 350)		/var/cspace/ucjeps/bmu/UC381075.JPG
UC421526.JPG	False	True	True	True	True	True	False	42276	True	(3744, 5616)	6793804			JPEG	RGB		(350, 350)		/var/cspace/ucjeps/bmu/UC421526.JPG
UC437875.JPG	False	True	True	True	True	True	False	40044	True	(3744, 5616)	6754401			JPEG	RGB		(350, 350)		/var/cspace/ucjeps/bmu/UC437875.JPG
UC437876.JPG	False	True	True	True	True	True	False	36486	True	(3744, 5616)	7333361			JPEG	RGB		(350, 350)		/var/cspace/ucjeps/bmu/UC437876.JPG
UC437878.JPG	False	True	True	True	True	True	False	43333	True	(3744, 5616)	6401675			JPEG	RGB		(350, 350)		/var/cspace/ucjeps/bmu/UC437878.JPG
UC465202.JPG	False	True	True	True	True	True	False	43161	True	(3744, 5616)	6798363			JPEG	RGB		(350, 350)		/var/cspace/ucjeps/bmu/UC465202.JPG
UC531698.JPG	False	True	True	True	True	True	False	42690	True	(3744, 5616)	6927098			JPEG	RGB		(350, 350)		/var/cspace/ucjeps/bmu/UC531698.JPG
UC678396.JPG	False	True	True	True	True	True	False	43082	True	(3744, 5616)	6161908			JPEG	RGB		(350, 350)		/var/cspace/ucjeps/bmu/UC678396.JPG
