objsortnum_s	objmusno_s
000009 019162	9-19162
000001 011354	1-11354
000001 097405	1-97405
000002 006374	2-6374
000006 014767	6-14767
000011 041013	11-41013
000011 013598	11-13598
000003 002431	3-2431
000002 017435	2-17435
000016 003823	16-3823
000006 022342	6-22342
000001 188114	1-188114
000001 210796 000002	1-210796.2
000001 006352 000005	1-6352.5
000009 002111	9-2111
000009 007471	9-7471
000005 016414	5-16414
000001 083243	1-83243
000001 202341	1-202341
000015 008510	15-8510
000001 044543	1-44543
000001 245136	1-245136
000002 036779	2-36779
000009 009528	9-9528
000001 153280	1-153280
000001 047748	1-47748
000003 013535	3-13535
000002 007720	2-7720
000006 017764	6-17764
000001 167374 000031	1-167374.31
L 000674	L-674
000001 259138	1-259138
000001 082738	1-82738
000001 114010	1-114010
000001 128701	1-128701
000015 007648 film	15-7648.film
000008 009580	8-9580
000001 110670	1-110670
000001 086424	1-86424
000006 011056	6-11056
000001 029930	1-29930
000009 008076 j	9-8076j
000012 002370 A	12-2370A
000009 007874 a,b	9-7874a,b
000014 002552 000002	14-2552.2
000002 041461	2-41461
000001 054993	1-54993
L 010781	L-10781
000001 180831	1-180831
000001 035846	1-35846
000011 003266	11-3266
000009 009128 c	9-9128c
000001 203946 000008	1-203946.8
000001 168139 000020	1-168139.20
000011 044355	11-44355
000001 107236	1-107236
000001 242088	1-242088
000011 000098	11-98
000001 071146	1-71146
000011 045459	11-45459
000001 127569	1-127569
000005 013875	5-13875
000012 003710 B	12-3710B
000002 019543	2-19543
000006 016185	6-16185
000011 038267	11-38267
000001 239500 _dupe	1-239500_dupe
000002 062930	2-62930
000001 061464	1-61464
000001 016384	1-16384
000001 164150	1-164150
000015 021653	15-21653
000001 124520 000002	1-124520.2
000012 008537	12-8537
000001 178531	1-178531
000025 003216	25-3216
000003 028059	3-28059
000001 053256	1-53256
000011 024243	11-24243
000001 095458	1-95458
000002 071875	2-71875
K 001509 cBis	K-1509c Bis
000001 053242	1-53242
000016 009802	16-9802
000002 033740	2-33740
000002 031483	2-31483
000008 007715	8-7715
000001 256592	1-256592
000001 226769	1-226769
000025 007856	25-7856
000001 218674	1-218674
000018 000990 a	18-990a
000001 246636	1-246636
000011 023630	11-23630
000001 245216	1-245216
000011 039706	11-39706
000001 163637	1-163637
000009 007172	9-7172
000003 025706	3-25706
