objsortnum_s	objmusno_s
000001 149406	1-149406
000001 158073	1-158073
000001 258022	1-258022
000001 252027	1-252027
000002 054407	2-54407
000009 020148	9-20148
000001 027376	1-27376
000009 009897	9-9897
000005 007204	5-7204
000008 001394	8-1394
000001 211351 000002	1-211351.2
000003 008842	3-8842
000008 004152	8-4152
000012 009904 +A	12-9904+A
000001 158398	1-158398
000006 020892	6-20892
000010 000135	10-135
000011 002877	11-2877
000009 003258	9-3258
000011 043667	11-43667
000001 129819	1-129819
000001 125011 000002	1-125011.2
000001 246096	1-246096
000001 026485	1-26485
000002 012718	2-12718
000008 002017 a,b	8-2017a,b
000001 196783	1-196783
000001 065213	1-65213
000005 001907	5-1907
000001 141007	1-141007
000002 010007	2-10007
000011 043125	11-43125
000015 027174	15-27174
000016 002407	16-2407
000009 006836 b	9-6836b
000011 039796	11-39796
000012 009480	12-9480
000010 001428	10-1428
000012 006130 B	12-6130B
000025 009708	25-9708
000015 001498 plate	15-1498.plate
000002 043153	2-43153
000001 204248	1-204248
000001 251096	1-251096
000002 023529	2-23529
000011 023850	11-23850
000001 066083	1-66083
000001 058028	1-58028
000006 014073	6-14073
000016 017225	16-17225
000002 020767	2-20767
000003 021801	3-21801
000002 045272	2-45272
L 017337	L-17337
000001 165619	1-165619
000009 011833	9-11833
000003 027604	3-27604
L 015014	L-15014
000001 193591	1-193591
000001 032440	1-32440
000002 029612	2-29612
000001 130647	1-130647
000001 049789	1-49789
000012 000577 +A	12-577+A
000001 007363	1-7363
000002 031953	2-31953
000011 006059	11-6059
000006 018662	6-18662
000002 037395	2-37395
000006 018846	6-18846
000015 024645	15-24645
000001 036842	1-36842
000011 028166	11-28166
000001 053290	1-53290
000001 040301	1-40301
000002 054315	2-54315
000001 152986	1-152986
000002 016722	2-16722
000001 058516	1-58516
000004 006773	4-6773
000002 032277	2-32277
000012 004391 +A	12-4391+A
000005 006582	5-6582
000001 252438	1-252438
000011 013779 a-c	11-13779a-c
000001 060508	1-60508
000003 031857	3-31857
000004 003439 o	4-3439o
000012 007955	12-7955
000015 025151	15-25151
000006 007090	6-7090
000012 007041 (0)	12-7041(0)
000001 000769	1-769
000001 098744 000001	1-98744.1
000005 012954	5-12954
000025 000057	25-57
000001 120606 000002	1-120606.2
000010 003080 b	10-3080b
000001 177833	1-177833
000006 021207	6-21207
000002 018605	2-18605
000006 016302	6-16302
000001 006329 000021	1-6329.21
000001 112010	1-112010
000001 071479	1-71479
000001 042334	1-42334
000002 005674	2-5674
000015 013788	15-13788
000001 022073	1-22073
000011 009689	11-9689
000001 013701	1-13701
L 003624	L-3624
000001 258827	1-258827
000011 011667	11-11667
K 001232 kBis	K-1232k Bis
000002 041952	2-41952
000001 036693	1-36693
000009 001867	9-1867
000015 019792	15-19792
000001 080233	1-80233
000018 001056	18-1056
000009 007325 a,b	9-7325a,b
000001 010605	1-10605
000001 260675	1-260675
000002 072593	2-72593
000001 062141	1-62141
000007 009165	7-9165
000001 087076	1-87076
000011 024261 av	11-24261av
000001 123039 000001	1-123039.1
000001 020169	1-20169
000001 220219	1-220219
000002 068758	2-68758
000002 055866	2-55866
000002 030383	2-30383
000001 237013 _dupe	1-237013_dupe
000013 001494	13-1494
000001 121147	1-121147
000001 237315 _dupe	1-237315_dupe
000011 039647	11-39647
000003 007462	3-7462
000019 000006	19-6
000001 157074	1-157074
000009 021127	9-21127
000002 012934	2-12934
000001 258682	1-258682
000001 167961 000005	1-167961.5
000009 012475	9-12475
000004 006115	4-6115
000012 006880 A	12-6880A
000001 225648	1-225648
000001 219316	1-219316
000012 000421 (0)	12-421(0)
000013 005920	13-5920
000003 018433	3-18433
000015 025217	15-25217
000012 009138 C	12-9138C
000011 006788	11-6788
000016 013469	16-13469
000022 001084	22-1084
000016 010748	16-10748
000003 026821 a,b.1	3-26821a,b.1
000005 011682	5-11682
000002 070105	2-70105
000001 023267	1-23267
000001 178637	1-178637
000001 202175	1-202175
000005 007150	5-7150
000007 009929 dup1	7-9929-dup1
000001 068746	1-68746
000002 061090	2-61090
000006 012520	6-12520
000008 004504	8-4504
000001 087646	1-87646
000001 034776 000004	1-34776.4
000001 127757 000008	1-127757.8
000001 221710	1-221710
000001 009008	1-9008
000007 000551	7-551
000003 012736	3-12736
000001 207515 e	1-207515e
000001 183121	1-183121
000001 025344	1-25344
000001 147389	1-147389
000009 006629 a-c	9-6629a-c
000011 029916	11-29916
000003 016510 d	3-16510d
000001 195474	1-195474
000001 061766	1-61766
000016 016894	16-16894
000011 043396	11-43396
000001 102050 000002	1-102050.2
000025 000410	25-410
000001 248085	1-248085
000012 008455	12-8455
000001 074109 000001	1-74109.1
000001 003698	1-3698
000005 001570	5-1570
000007 004745	7-4745
000001 118254	1-118254
000011 040418	11-40418
000001 248352	1-248352
000006 023160	6-23160
000001 128821 000004	1-128821.4
000025 000906	25-906
000001 244683	1-244683
000001 247939	1-247939
000001 072712	1-72712
000001 058141 000002	1-58141.2
000011 003018	11-3018
000001 261375	1-261375
000001 161510	1-161510
000001 094224	1-94224
000025 003325	25-3325
000002 013572	2-13572
000001 124734 000003	1-124734.3
000011 017173	11-17173
000001 155085	1-155085
000002 049810 000001	2-49810.1
000001 226777	1-226777
000001 200307 000003	1-200307.3
L 007566	L-7566
000001 180722	1-180722
000011 028148	11-28148
000011 037161	11-37161
000011 024067	11-24067
000002 032476	2-32476
000004 002051	4-2051
000005 007117	5-7117
000009 020783	9-20783
000011 015833 000003	11-15833.3
000005 007824	5-7824
000001 191283	1-191283
000002 028887	2-28887
000025 015035	25-15035
000003 030111 a,b	3-30111a,b
000025 004620	25-4620
000002 030137	2-30137
000001 224942	1-224942
000001 216431	1-216431
000008 003459	8-3459
000011 003811	11-3811
000015 013561	15-13561
000001 210233	1-210233
000001 152374	1-152374
000011 044082	11-44082
000009 023357	9-23357
000001 177315	1-177315
000001 025754	1-25754
000004 003764	4-3764
000006 019454	6-19454
000001 076301	1-76301
000025 010419	25-10419
000001 016682	1-16682
000015 023779	15-23779
000001 038135	1-38135
000001 140989	1-140989
000025 007804	25-7804
000005 004401	5-4401
000002 055006	2-55006
000001 003809	1-3809
000004 006592 000001	4-6592.1
000016 001765	16-1765
000001 097515	1-97515
000005 013912	5-13912
000001 151182	1-151182
000008 009092	8-9092
000005 005865 j	5-5865j
K 000066	K-66
000001 209131	1-209131
000016 010737	16-10737
L 000867	L-867
000011 029591	11-29591
000011 027010	11-27010
000001 213022	1-213022
000001 211040 000003	1-211040.3
000009 001996	9-1996
000001 219548	1-219548
000010 000257 a	10-257a
000006 001203	6-1203
000001 091143	1-91143
000005 003550	5-3550
000001 124470	1-124470
000001 247168	1-247168
000003 002564	3-2564
000002 066384	2-66384
000007 005653 000002	7-5653.2
000001 023762	1-23762
000001 213133	1-213133
L 019149	L-19149
000003 021954	3-21954
000001 123014 b	1-123014b
000002 068545 a	2-68545a
000003 025043	3-25043
000015 025216	15-25216
000011 017044	11-17044
000001 028762	1-28762
000009 014048	9-14048
000015 029412	15-29412
000002 067024 c	2-67024c
000005 017055	5-17055
000001 261130	1-261130
000025 005006	25-5006
000001 131656	1-131656
000001 061002	1-61002
000001 009512	1-9512
000001 103893	1-103893
000001 249144	1-249144
000001 135635	1-135635
000012 005265 A	12-5265A
000001 261930	1-261930
000001 222287	1-222287
000002 027577	2-27577
000001 174691	1-174691
000024 000741	24-741
000006 021093	6-21093
000025 000357	25-357
000002 027642	2-27642
000001 104367	1-104367
000015 007242	15-7242
000001 219727 000006	1-219727.6
000001 161634	1-161634
000001 063676 000002	1-63676.2
000002 039300	2-39300
000002 058651	2-58651
K 001249 qBis	K-1249q Bis
L 016635	L-16635
000016 001085	16-1085
000001 124213	1-124213
000001 011387 000001	1-11387.1
000001 091032	1-91032
000001 226284	1-226284
000005 000111	5-111
K 002131 g	K-2131g
000002 061300	2-61300
000003 007627	3-7627
000001 224305	1-224305
000013 000543 b	13-543b
L 018096	L-18096
000009 016855	9-16855
000015 008536 film	15-8536.film
000003 020937	3-20937
000001 192919 000001	1-192919.1
000001 040086	1-40086
000004 005198	4-5198
L 007247	L-7247
000001 196429	1-196429
000001 154905	1-154905
000001 084293	1-84293
000001 121356	1-121356
000001 217491 000006	1-217491.6
000001 174756 a-c	1-174756a-c
000001 184753	1-184753
000001 249821	1-249821
000001 122750	1-122750
000010 002079	10-2079
000009 004995	9-4995
000016 004061	16-4061
000001 180911	1-180911
000013 004237	13-4237
000002 051405	2-51405
000003 025132	3-25132
000001 237252 _dupe	1-237252_dupe
000013 006307	13-6307
000002 069310	2-69310
000002 054850	2-54850
000001 065367	1-65367
000001 143828 000001	1-143828.1
000005 000238 a,b	5-238a,b
000002 011554 b	2-11554b
000001 031620	1-31620
000001 236438 _dupe	1-236438_dupe
000011 038455	11-38455
000002 038798	2-38798
000013 004396	13-4396
000011 018724	11-18724
000011 021796	11-21796
000001 251485	1-251485
000001 148406	1-148406
000001 105351	1-105351
000002 020958	2-20958
000015 031629 	15-31629
000006 010735	6-10735
000011 008070	11-8070
000011 009809	11-9809
L 017843	L-17843
000002 024252	2-24252
000016 011244 f	16-11244f
000004 007372	4-7372
000001 237348 _dupe	1-237348_dupe
000001 123054 000007	1-123054.7
000011 010824	11-10824
000009 005813	9-5813
000004 001060	4-1060
000001 011366 000001	1-11366.1
000011 026610	11-26610
000004 006159 c	4-6159c
000011 037312	11-37312
000001 026226	1-26226
000006 005278	6-5278
000001 248526	1-248526
000001 090780	1-90780
000001 221397	1-221397
000006 010979	6-10979
000002 071514 f	2-71514f
000001 075470	1-75470
000001 236811	1-236811
000001 120008	1-120008
000007 000278	7-278
000001 060788	1-60788
000001 186846	1-186846
000008 001897	8-1897
000012 004343 (0)	12-4343(0)
000011 012671 b	11-12671b
000001 006718 000002	1-6718.2
000001 192904 000002	1-192904.2
000011 026361	11-26361
L 018139	L-18139
000001 208189	1-208189
000001 149544	1-149544
000001 192567	1-192567
L 016583 a	L-16583a
000007 008493	7-8493
000025 002420	25-2420
000015 015684	15-15684
000001 006561	1-6561
000001 047762	1-47762
000004 003398	4-3398
000001 144026	1-144026
000001 051367	1-51367
000011 005286	11-5286
000024 000929	24-929
000002 071697	2-71697
000001 231919	1-231919
L 001265	L-1265
000001 101409	1-101409
000001 229505	1-229505
000001 139046	1-139046
000001 188399	1-188399
000002 051951	2-51951
000001 242080	1-242080
000001 029221	1-29221
L 017745	L-17745
000011 025797 000001	11-25797.1
000025 010635	25-10635
000009 023631	9-23631
000001 176010	1-176010
000003 029798	3-29798
000002 066323	2-66323
000001 080306	1-80306
000011 031487 000002	11-31487.2
L 008049	L-8049
000002 070509	2-70509
000001 025267	1-25267
000001 237626 _dupe	1-237626_dupe
000008 001494	8-1494
000001 018572 000033	1-18572.33
000001 215397	1-215397
000001 141197	1-141197
000012 007381	12-7381
000001 125028 000002	1-125028.2
000005 011058	5-11058
000007 000252	7-252
000009 009534	9-9534
000001 226459	1-226459
000012 007253 (0)	12-7253(0)
000001 029057	1-29057
000016 003157	16-3157
000002 018723	2-18723
000009 020687	9-20687
000001 113324	1-113324
000002 033627 a-f	2-33627a-f
L 015184	L-15184
000001 089832	1-89832
000001 081370	1-81370
000005 015914 a	5-15914a
000003 004192	3-4192
000001 197553	1-197553
000002 065435	2-65435
000009 006471	9-6471
000001 010246	1-10246
000025 012330	25-12330
L 004139	L-4139
000001 032535	1-32535
000001 130663 000002	1-130663.2
000003 027999 a-c	3-27999a-c
000002 046717	2-46717
000001 237739	1-237739
000024 003073	24-3073
000011 041597	11-41597
000001 026155	1-26155
000001 081788	1-81788
000001 036365	1-36365
000006 016637	6-16637
000001 008397	1-8397
000011 003445	11-3445
000001 261754	1-261754
000001 080895	1-80895
000013 006788	13-6788
K 000979	K-979
000001 228366	1-228366
000016 020617	16-20617
000003 017172	3-17172
000012 002060	12-2060
000001 059143	1-59143
000001 023190	1-23190
000001 003319	1-3319
000001 163955 000001	1-163955.1
000001 197079	1-197079
000011 024757	11-24757
000010 000173	10-173
000002 004291 a,b	2-4291a,b
000005 011619	5-11619
000002 031173	2-31173
000001 244753	1-244753
000016 010164	16-10164
000001 080504	1-80504
000001 166427 000004	1-166427.4
000005 002788	5-2788
000001 217016 dup	1-217016.dup
000025 002717	25-2717
000015 026672	15-26672
000001 083974	1-83974
000025 004148	25-4148
000012 011005	12-11005
000009 000308	9-308
000002 052756	2-52756
000026 000032	26-32
000001 123171	1-123171
000012 004343	12-4343
000001 086419	1-86419
000001 189633	1-189633
000001 148050 000002	1-148050.2
000001 164004 000004	1-164004.4
000001 100550	1-100550
000007 008875	7-8875
000015 018214	15-18214
000009 005747	9-5747
000015 008665 plate	15-8665.plate
000011 025950 000015	11-25950.15
000001 055216	1-55216
000001 112723	1-112723
000001 117447	1-117447
000002 004599	2-4599
000001 058125	1-58125
000001 083227	1-83227
000014 002587 000002	14-2587.2
000001 205815	1-205815
000001 200605	1-200605
000002 029244	2-29244
000015 008317	15-8317
000006 006611 s	6-6611s
000001 174025	1-174025
000002 026056	2-26056
000001 114925	1-114925
000011 033692	11-33692
L 014220	L-14220
L 013864	L-13864
000001 180937	1-180937
000001 023531	1-23531
000005 003378	5-3378
000015 004591	15-4591
000004 001558	4-1558
000002 057396	2-57396
000002 034551	2-34551
000011 015071 000001	11-15071.1
000001 252516	1-252516
000001 040790	1-40790
000015 020583	15-20583
000014 000021	14-21
000001 176809	1-176809
000001 235735	1-235735
000011 006719	11-6719
000001 140799	1-140799
000011 044610	11-44610
000001 119763	1-119763
000008 009444	8-9444
000001 172004	1-172004
000001 185597	1-185597
000014 000491	14-491
000002 016898	2-16898
000012 000720	12-720
000004 002478 b	4-2478b
000001 128633	1-128633
000002 035460	2-35460
000003 005171	3-5171
000001 021901	1-21901
000002 048172	2-48172
000001 249232	1-249232
000001 138336	1-138336
000005 011290	5-11290
000005 008716	5-8716
000006 001276	6-1276
000025 003750	25-3750
000001 234324	1-234324
000015 004904	15-4904
000001 012788	1-12788
000001 218116	1-218116
000013 002207	13-2207
000001 240736 _dupe	1-240736_dupe
000001 099185	1-99185
000011 031988	11-31988
000015 006430 film	15-6430.film
000006 000684	6-684
000001 253476	1-253476
000001 126989	1-126989
000001 256782	1-256782
000001 226930 000001	1-226930.1
000016 015016	16-15016
000012 002231 B	12-2231B
000001 059552	1-59552
000009 020830	9-20830
000008 007812	8-7812
000002 049842	2-49842
000002 055671	2-55671
000011 029509 000002	11-29509.2
000003 018811	3-18811
000011 035717	11-35717
000002 029934	2-29934
000001 009759	1-9759
000011 022659	11-22659
000011 017099	11-17099
000001 186438	1-186438
000001 075304	1-75304
000006 003752	6-3752
000001 166685	1-166685
000011 040890	11-40890
000018 001166	18-1166
000015 002255 film	15-2255.film
000001 252582	1-252582
000017 000431	17-431
000002 008896	2-8896
000001 054981	1-54981
000003 012285 000002	3-12285.2
000001 229188	1-229188
000014 002630	14-2630
000001 021635	1-21635
000001 120192	1-120192
000002 063048	2-63048
000005 014722	5-14722
000001 017284	1-17284
000001 221989	1-221989
000001 099786 000002	1-99786.2
000003 022507	3-22507
000001 028419 a,b	1-28419a,b
L 001410	L-1410
000003 019206	3-19206
000001 125186	1-125186
000001 049909	1-49909
000003 005445	3-5445
L 013067	L-13067
000001 026862	1-26862
000001 173558	1-173558
L 017725	L-17725
000001 030516	1-30516
000002 005481	2-5481
000003 015268	3-15268
000001 118904	1-118904
000001 062353	1-62353
000001 187353	1-187353
000001 196198	1-196198
000011 025434	11-25434
000001 063616	1-63616
000007 009633 d	7-9633d
000003 031335	3-31335
000001 222044	1-222044
000001 058785	1-58785
000005 009703	5-9703
000003 021248	3-21248
000003 022085	3-22085
000001 212044	1-212044
000003 008076	3-8076
000006 019891 000003	6-19891.3
000001 149452	1-149452
000011 045391	11-45391
000002 032758	2-32758
000001 239600	1-239600
000001 079583	1-79583
000006 014567	6-14567
000015 017155	15-17155
000012 007588 000005	12-7588.5
000015 021629	15-21629
000001 159834	1-159834
000001 161894	1-161894
000001 204673	1-204673
000002 060115	2-60115
000001 018571 000031	1-18571.31
000003 006264	3-6264
000001 055722	1-55722
000001 114346	1-114346
000002 039921	2-39921
000001 006418	1-6418
000001 243594	1-243594
000006 009222	6-9222
000001 056153	1-56153
000025 014334	25-14334
000002 018161	2-18161
000001 148956	1-148956
000024 000120 NW#14.A.5	24-120.NW#14.A.5
000006 013110	6-13110
000001 177606	1-177606
000001 237187	1-237187
000001 110545	1-110545
000003 011327	3-11327
000001 178391	1-178391
000016 016864	16-16864
000002 037857	2-37857
000009 021814	9-21814
000011 015832 000011	11-15832.11
000001 134364	1-134364
000011 008592	11-8592
000009 013188	9-13188
000002 068358	2-68358
000011 018902	11-18902
000001 030332	1-30332
000006 005925	6-5925
000001 151183	1-151183
000001 110568	1-110568
000003 013298	3-13298
000001 017146	1-17146
000001 052035	1-52035
000007 006821	7-6821
000001 189670	1-189670
L 010267	L-10267
000006 010068	6-10068
000010 002803 a	10-2803a
000009 016143	9-16143
000006 004961	6-4961
000005 005115	5-5115
000001 168150 000003	1-168150.3
000001 080590 000002	1-80590.2
000002 016919	2-16919
000001 135471	1-135471
000001 078747	1-78747
000001 241414 _dupe	1-241414_dupe
000001 252986	1-252986
000016 012681	16-12681
000001 238313 _dupe	1-238313_dupe
000001 206024 000001	1-206024.1
000004 006068 a	4-6068a
000008 007567	8-7567
000001 072954	1-72954
000011 019386	11-19386
000001 123590	1-123590
000002 049615 a,b	2-49615a,b
000001 158941	1-158941
000007 005090	7-5090
000004 003903 l	4-3903l
000001 133664	1-133664
000001 251753	1-251753
000001 248412	1-248412
000004 002243 a	4-2243a
000001 063314	1-63314
000001 156936	1-156936
000001 132032	1-132032
000001 155447	1-155447
000011 024262	11-24262
000001 106892	1-106892
000001 166129	1-166129
000011 029480	11-29480
000002 053727	2-53727
000025 006146	25-6146
000001 095593	1-95593
000010 001393	10-1393
000015 019255	15-19255
000004 000023 000002	4-23.2
000009 021240	9-21240
000003 011798	3-11798
000001 151888	1-151888
000001 204067	1-204067
000008 000019	8-19
000011 033132	11-33132
000001 153089	1-153089
000001 158606	1-158606
000002 067025 a,b	2-67025a,b
000025 002206	25-2206
000012 006884 000001	12-6884.1
000016 003401	16-3401
000003 016418	3-16418
000009 008132 e	9-8132e
000011 042142	11-42142
000014 002623	14-2623
000001 006459 000010	1-6459.10
000009 023173	9-23173
000016 020225	16-20225
000012 000607 +A,B	12-607+A,B
000009 011085 l	9-11085l
000001 124370	1-124370
000001 050879	1-50879
000004 003533	4-3533
000011 034777	11-34777
000001 182343	1-182343
000001 087670	1-87670
000001 167784 000010	1-167784.10
000001 173110	1-173110
000002 011809	2-11809
000001 034540	1-34540
000001 203855 000004	1-203855.4
000002 044450	2-44450
000002 010946	2-10946
000002 063111	2-63111
000016 019729	16-19729
000013 001320 x	13-1320x
000003 019767	3-19767
L 017974	L-17974
000006 006577	6-6577
000001 101345	1-101345
000001 174584	1-174584
000006 000254	6-254
000001 152398	1-152398
000015 010984	15-10984
000012 002791 B	12-2791B
000006 021959	6-21959
000002 061316	2-61316
000001 168694	1-168694
000001 219629	1-219629
000005 014435	5-14435
000001 050447	1-50447
000007 008836	7-8836
000001 257182	1-257182
000001 040330	1-40330
000001 099034	1-99034
000001 101807 000002	1-101807.2
000001 256153	1-256153
K 001332 gBis	K-1332g Bis
000013 006341	13-6341
000001 205814	1-205814
000001 195063	1-195063
L 001666	L-1666
000012 003078	12-3078
BY.A-74	BY.A-74
000001 110419	1-110419
